,batch,gender,music_streaming_platform,language_music_primary,music_language_secondary,fav_music_genre,fav_music_genre_2,num_concerts,num_songs_playlist,fav_musical_ins,play_instrument,fav_music_artist,fav_music_band,movie_streaming_platform,fav_movie_genre,fav_tvseries_genre,movie_watching_mode,movie_preference,fav_movie_actor,fav_series_actor,fav_movie,fav_series,time_movie_week,highest_binge_hr,opp_barb
0,BCA 2024,Female,Spotify,English,Hindi,Rap / HipHop,Indie,1,21,Ukulele,Ukulele,Eminem,Cigarettes After Sex,Unofficial Streaming Sites (FMovies) etc.,Thriller,Thriller,Laptop / PC,Bollywood,Shahrukh Khan,Saif Ali Khan,Yeh Jawaani Hai Deewani,F.R.I.E.N.D.S.,3,0,Oppenheimer
1,BCA 2024,Male,Spotify,English,Nepali,EDM / Funk,Pop,0,24,Piano / Keyboard,,(empty),Clean Bandit,Others,Sci-Fi,Sci-Fi,Cinema,Hollywood,Robert Downey Jr.,Oscar Isaac,Avengers: Infinity War,Moon Knight,3,8,Oppenheimer
2,BCA 2024,Male,Spotify,English,Nepali,Rock / Metal / Grunge,Rock / Metal / Grunge,1,100,Drums,,Masayoshi Takanaka,Nirvana,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Others,Anime,Cinema,Hollywood,Cillian Murphy,Johan ,Oppenheimer,Gintama,8,12,Oppenheimer
3,BCA 2024,Male,Spotify,Nepali,English,Rock / Metal / Grunge,Rap / HipHop,10,23,Guitar,Guitar,Tim Henson,The Dreamcatchers,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Horror,Thriller,Laptop / PC,South Indian,(empty),Cilian Murphy,The pursuit of happiness,Dark,2,18,Oppenheimer
4,BCA 2025,Female,Spotify,Hindi,English,Bollywood,Pop,2,5,Bass,,Taylor Swift,1975,Unofficial Streaming Sites (FMovies) etc.,Romance / Love Story,Comedy,Laptop / PC,Hollywood,Alia Bhatt,(empty),Green mile,How I Met Your Mother,10,24,Oppenheimer
5,BCA 2025,Male,YouTube,Hindi,Nepali,Bollywood,Classical / Traditional,0,48,Piano / Keyboard,,(empty),(empty),Unofficial Streaming Sites (FMovies) etc.,Thriller,Crime,Phone / Tablet,Bollywood,Nawazuddin Siddiqui,Pankaj Tripathi,Lunch Box,Mirzapur,5,6,Oppenheimer
6,BCA 2025,Female,Spotify,Hindi,Nepali,Bollywood,Instrumental / Soul,1,15,Piano / Keyboard,Piano / Keyboard,(empty),(empty),Unofficial Streaming Sites (FMovies) etc.,Romance / Love Story,Romance / Love Story,Laptop / PC,Hollywood,(empty),(empty),YJHD,Never Have I ever,2,4,Barbie
7,CSIT 2023,Male,YouTube,English,Hindi,Indie,Rock / Metal / Grunge,1,9,Drums,,Weeknd,Arctic Monkeys,Torrent / Download,Thriller,Sci-Fi,Cinema,Hollywood,Tom Cruise,Shahrukh Khan,Casablanca,Lost (2004),5,7,Barbie
8,CSIT 2023,Male,Spotify,English,Hindi,Rock / Metal / Grunge,Others,0,28,Guitar,Guitar,Layne Staley,King Crimson,Unofficial Streaming Sites (FMovies) etc.,Sci-Fi,Thriller,Laptop / PC,Hollywood,Sir Ian McKellen,Cate Blanchett,LOTR: The Two Towers,House of the Dragon,3,11,Oppenheimer
9,CSIT 2023,Male,YouTube,English,Nepali,Pop,Classical / Traditional,2,100,Guitar,,Bob Dylan,Queen,Unofficial Streaming Sites (FMovies) etc.,Others,Sci-Fi,Laptop / PC,Hollywood,Jake Gyllenhaal,Cilian Murphy,Schindlers List,Peaky Blinders,10,12,Oppenheimer
